# 
# Header Description:
# 
# Version: v3.1.1.1 Platform: 16 Manufacturer: Google Model: Pixel 8a GNSS Hardware Model Name: S.LSI,K041,SPOTNAV_4.15.4_3_250220_R2_258342
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,19,0,1,7,1575420000,42.50,323.4,64.2,1,0,1,39.0
Status,,19,1,1,9,1575420000,42.50,186.3,62.1,1,0,1,39.0
Status,,19,2,1,8,1575420000,37.60,103.2,51.9,1,0,1,34.1
Status,,19,3,1,30,1575420000,40.20,297.6,36.0,1,0,1,36.7
Status,,19,4,1,27,1575420000,39.50,60.6,35.3,1,0,1,36.0
Status,,19,5,1,4,1575420000,36.90,154.2,26.9,1,0,1,33.4
Status,,19,6,1,21,1575420000,34.20,291.7,18.5,1,0,1,30.7
Status,,19,7,1,14,1575420000,38.50,238.3,17.2,1,0,1,35.0
Status,,19,8,1,16,1575420000,34.20,50.9,15.8,1,0,1,30.7
Status,,19,9,1,5,1575420000,32.80,321.0,6.9,1,0,1,29.3
Status,,19,10,3,3,1604812500,42.60,264.0,63.0,1,0,1,39.1
Status,,19,11,3,2,1599750000,43.70,182.4,29.7,1,0,1,40.2
Status,,19,12,3,12,1601437400,34.60,47.4,29.1,1,0,1,31.1
Status,,19,13,3,14,1598062500,40.90,267.0,28.1,1,0,1,37.4
Status,,19,14,6,23,1575420000,38.40,241.3,77.5,1,0,1,34.9
Status,,19,15,6,4,1575420000,34.70,296.4,65.5,1,0,1,31.2
Status,,19,16,6,19,1575420000,32.90,153.7,49.7,0,0,1,29.4
Status,,19,17,6,6,1575420000,35.40,310.7,39.5,1,0,1,31.9
Status,,19,18,6,31,1575420000,33.40,231.6,24.8,1,0,1,29.9
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1599750016,3
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1604812544,3
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1598062464,3
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1601437440,3
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,1920410654,18,,,,,,,48206,7.800000190734863,1575420032,6
Status,,23,0,1,7,1575420000,42.40,323.4,64.2,1,0,1,38.9
Status,,23,1,1,9,1575420000,42.50,186.3,62.1,1,0,1,39.0
Status,,23,2,1,8,1575420000,37.60,103.2,51.9,1,0,1,34.1
Status,,23,3,1,30,1575420000,40.30,297.6,36.0,1,0,1,36.8
Status,,23,4,1,27,1575420000,40.50,60.6,35.3,1,0,1,37.0
Status,,23,5,1,4,1575420000,36.80,154.2,26.9,1,0,1,33.3
Status,,23,6,1,21,1575420000,36.00,291.7,18.5,1,0,1,32.5
Status,,23,7,1,14,1575420000,38.60,238.3,17.2,1,0,1,35.1
Status,,23,8,1,16,1575420000,34.00,50.9,15.8,1,0,1,30.5
Status,,23,9,1,5,1575420000,32.70,321.0,6.9,1,0,1,29.2
Status,,23,10,3,3,1604812500,42.50,264.0,63.0,1,0,1,39.0
